term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
08,01,02,,1,本院委員孔文吉、鄭天財等12人，鑑於追求自治是原住民族長久追求的理想與願景，國家應依據原住民族之意願，保障其地位、政治參與及民族發展權，從而原住民族一旦選擇以自治制度為其表示民族意願之方式，國家即應承認並保障原住民族自治之權利。惟「原住民族自治法」於立法院第七屆會期尚未完成立法，依據立法院職權行使法第十三條法案屆期不連續之規定，建請行政院立即重新提出原住民族自治法草案，並儘速送至立法院審議，以利於原住民族自治法的持續推動與完成立法，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_001.doc,all,
08,01,02,,2,本院委員蔣乃辛、潘維剛等24人，有鑑於社會頻傳妻、父母久病，親人為助其解脫而用外力致死的不幸新聞，本席等不禁要問：「政府為什麼不能避免類似的悲劇一再地發生」？台灣什麼時候才能建立一套完善的「長期照護制度」？「老有所終」的大同社會何時才能實現？為了落實照顧老年人、植物人及各類身心障礙者等弱勢族群，本席要求行政院檢討與改進現行十年長照計畫，加強通報與訪視等工作；及早完成長期照護等相關法案的修法工作，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_002.doc,all,
08,01,02,,3,本院委員林世嘉、鄭麗君、陳歐珀、林佳龍等17人，鑒於近日媒體報導，頻傳國內大賣場及連鎖餐廳的肉品抽檢出含有瘦肉精殘留；再者，加上日前爆發中小學校長營養午餐弊案，如此攸關中小學學生的食品衛生安全，本席建請行政院衛生署及教育部責成各縣市衛生局，針對中小學學生營養午餐，作全面性肉品檢驗是否有瘦肉精殘留，並作成專案檢驗報告送交立法院，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_003.doc,all,
08,01,02,,4,本院委員吳育昇、江惠貞、蘇清泉等26人，有鑑於民眾於不同醫療院所尋求治療，往往需要舟車勞頓申請紙本病歷、複製影像、光碟資料，以讓自己的病情能夠讓新醫院新醫師了解。雖然，衛生署已完成配套法規，並開始推動電子病歷與電子病歷跨院交換政策，希望能讓病患可在任一家醫院，透過健保IC卡及醫師之醫事憑證IC卡，在病人同意及醫師授權之情形下，完整取得病人過去之病史資料，提供無縫隙的照護。但全國醫療院所總計20691家，其中醫院共508家，診所共20183家，當中有提供電子病歷跨院服務的醫療院所僅佔總數0.68%，推動進度十分緩慢。我國大力推動雲端產業之際，雲端醫療應為重點發展領域，建請行政院跨部會加速整合推動，二年內完成全國醫療院所電子病歷交換，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_004.doc,all,
08,01,02,,5,本院委員陳其邁、李俊俋等19人，為維護國家清廉形象與文建會作為行政機關之尊嚴，擬成立「夢想家標案調閱委員會」，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_005.doc,all,
08,01,02,,6,本院委員簡東明等20人，鑑於原住民族地區之公墓用地嚴重不足，原鄉部落傳統公墓未有妥慎規劃且均已飽和，舊墓更新刻不容緩，然內政部及行政院原住民族委員會皆未列有遷葬費用之補助辦法，財政窘困的原住民鄉（區）公所無力獨自承擔而難以推動舊墓更新業務，令原住民族地區居民之權益嚴重受損。爰建請內政部、原民會共同協商研處後，責成相關單位儘速針對原住民族地區之公墓舊墓更新所需之遷葬費用補助研訂相關辦法，以保障居民之權益，並重建民眾對政府施政能力的信心，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_006.doc,all,
08,01,02,,7,本院委員趙天麟、陳歐珀、葉宜津等13人，針對日前幼兒娃娃車轉彎行駛時後車廂突然掀起，將幼兒甩出車外，過程怵目驚心，爰提案要求主管單位應立即檢視國內各幼兒交通車之設置，加強稽查通勤安全，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_007.doc,all,
08,01,02,,8,本院委員李昆澤等19人，針對交通部規劃在高雄闢建國道7號，自高雄港南星路起，經林園、小港、大寮、鳥松，至仁武銜接國道10號，全長23公里，以紓解中山高南端舊市區路段交通瓶頸，依交通部目前路線規劃，將來國道7號車潮又將從鼎金交流道匯回國道1號，屆時鼎金交流道壅塞情形會更加嚴重。爰此，建議將國道7號路線北延到岡山以北之後再匯入國道1號，達到交通分流效果，符合實際交通需求，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_008.doc,all,
08,01,02,,9,本院委員許添財等13人，有鑑於H5N2禽流感疫情爆發，為掌控疫情、穩定民心，特建議行政院提出緊急因應計畫，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_009.doc,all,
08,01,02,,10,本院委員陳亭妃等23人，針對我國市場上進口肉品含瘦肉精之問題嚴重，為維護國人健康，建請衛生署應立即提供各直轄市、縣（市）政府衛生局經費，全面查驗市場上之美國牛肉是否含有瘦肉精，邊境則應提高至逐批檢驗，並增加相關人力與設備，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_010.doc,all,
08,01,02,,11,本院委員楊應雄、吳育仁等18人，鑑於國防部C-130運輸機之台北－金門航班，對支援金門鄉親長期所需之緊急醫療後送或安寧返鄉至為重要，尤其日前傳出民間航空公司因報價過高，導致金門縣政府「101年度空中救護機載運安寧返鄉病人」採購案多次流標而產生空窗期，此間僅能以極高之價格雇請民航業者以個案處理安寧返鄉；而由內政部空中勤務總隊過於頻繁支援空窗期之醫療後送勤務，亦有排擠其他緊急救援任務之虞。爰此，建請國防部增加C-130運輸機之台北－金門航班，以緩解金門醫療後送及安寧返鄉之問題，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_011.doc,all,
08,01,02,,12,本院委員賴士葆、盧秀燕等22人，查我國家戶連網率超過八成，經常上網人口約1096萬人，顯示網路已成為民眾生活的一部分。近來，隨著雲端應用的興起，人們對於網路頻寬的需求也愈來愈高，但我國ISP業者的寬頻服務卻常被批評收費太貴、速度太慢，惹來廣大民怨。其實，民眾對於寬頻服務最不滿意的是，花了大錢卻得不到該有的連線速率。因此，為保障民眾購買寬頻上網的服務品質及權益，爰提案要求國家通訊傳播委員會限期於三個月內，針對ISP業者，依不同級距之寬頻服務，訂定最低上網頻寬服務水準保證規範並予公告實施，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_012.doc,all,
08,01,02,,13,本院委員許忠信、林佳龍等15人，近代民主國家國會基於國民主權原理與國民知情權的要求，均主張國會議事公開。國會議事資訊公開除了開放旁聽、媒體採訪及發行公報之外，還應該包括將國會活動的過程，以電視及網路，讓民眾得以即時、直接而方便的觀察國會議事的進行和內容，並監督立法委員之問政表現，民主先進國家如美國、英國、德國、法國、日本等莫不如此。立法院組織法第5條規定，「立法院會議公開舉行。」立法院各委員會組織法第9條也規定，「各委員會會議公開舉行。」條文中所謂的「會議」除了院會、各常設委員會之外，當然包括程序委員會，經費稽核委員會、紀律委員會及修憲委員會在內的各個特種委員會。所謂的「公開」當然應包括電視及網路轉播。就法言法，立法院都沒有迴避的理由。第七屆立法院「議事轉播委員會」7位委員，超過半數都贊成開放包括程序委員會在內的國會議事電視及網路轉播，在朝野委員都贊成及技術上都沒問題的情況下，卻遲遲不能實施，國會效率實在令人質疑。於此第8屆立法院開始運作之際，本席呼籲立法院能儘速實施包括程序委員會在內的國會議事電視轉播，走出國會改革的第一步，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_013.doc,all,
08,01,02,,14,本院委員黃文玲、林佳龍等15人，要求農委會就全國養雞場禽流感疫情作全面調查，並於一週內將調查結果向本院作專案報告，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_014.doc,all,
08,01,02,,15,本院委員黃志雄等11人，鑒於現行勞工退休金計算方式是以聘用人員聘用條例第35條辦理，然而按此條例辦理之結果對於公務機關約聘僱人員之退休金權益將不受保障，更有規避勞基法規定雇主應負責任之疑義。爰此建請相關部會，應修法改善現行給與辦法與勞工退休金條例之制度，進一步保障約聘僱人員之核給退休給與相關權益，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_015.doc,all,
08,01,02,,16,本院委員吳宜臻等11人，鑒於在作戰方式愈趨現代化的趨勢下，國防部卻仍抱著舊有的作戰思考模式，帶著刻板印象的有色眼鏡來挑選「保家衛國」的士兵，不僅違反憲法之平等原則、侵害了女性及身體障礙者之受教權及工作權，同時也喪失了網羅優秀國軍人才的機會。為保障女性及身體障礙者憲法保障權利，並達到國防部積極招募高素質人力之目的，要求國防部應立即更改招募條件，取消對女性及體位之歧視規定，並召開國軍招募檢視會議，重新檢視並規劃符合現行作戰形式之招募方式，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_016.doc,all,
08,01,02,,17,本院委員鄭麗君、陳歐珀、黃偉哲等13人，鑒於我國推動十二年國民基本教育，本院業已於民國100年12月9日通過「教育經費編列與管理法」。為避免十二年國教專屬財源破碎化、分用於教育部規劃的廿九項分項計畫中，造成寶貴時間的浪費與經費之浪擲，而未能有效改善我國十二年國民基本教育之基本面。爰此，本席具體建請行政院應組成專責機構，善用「教育經費編列與管理法」中所規定之十二年國民基本教育專屬財源，俾使政府新增之預算得優先用於十二年國教，促進各地區教育財政平等、實現高中職均優質化、縮短學生學習落差、合理減輕家庭就學費用、逐步擴大免試入學，並有系統與社會進行意見溝通，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_017.doc,all,
08,01,02,,18,本院委員江惠貞、潘維剛、吳育仁、吳育昇、陳碧涵等19人，針對民眾到銀行ATM跨行轉帳一次，將負擔十七元手續費，民眾轉愈多，經濟負擔愈重。假設民眾每個月跨轉一次，以目前銀行一年期利率計算，民眾將損失存款五萬元的利息錢。另以銀行目前拆帳架構，民眾支付的十七元手續費中，有十元是付給ATM的設置銀行，三‧五元給財金公司，剩下三‧五元則是給金融卡發卡銀行。但隨著科技愈來愈發達，民眾付款型態也日趨多元化，利用網銀、手機轉帳付款日趨頻繁，銀行處理跨行轉帳的成本大幅降低，因此本席建議金管會應站在民眾立場，督促銀行調降跨行轉帳手續費，以保障民眾權益，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_018.doc,all,
08,01,02,,19,本院委員吳育仁等12人，鑒於H5N2禽流感疫情已造成社會極大恐慌，加上美牛瘦肉精疑慮日益擴大，國人在食用禽隻肉品，呈現杯弓蛇影，無所適從的局面，僅透過新聞媒體報導隻字片語，已無法給國人完整與安心的資訊，資訊揭露機制亟需儘速改善。故此，本席要求行政院農委會動植物防疫檢疫局、衛生署疾病管制局，一周內整合現有資訊平台，成立共同主題專區，主動放置官網首頁，以安心民眾為前提，進行即時訊息公布，加強宣導，以安民心，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_019.doc,all,
08,01,02,,20,本院台灣團結聯盟黨團，針對國內非典型就業人數逐年攀升，其中如人力派遣與臨時性工時工作對勞工權益損害甚為嚴重，使勞動法令完全無法保障就業者，其年輕與高學歷化的傾向更造成青年勞動條件逐年惡化。然行政院歷經數年雖承諾將提出根本解決方案，卻至今未提出因應方案及檢討相關法規，以保障受害人數日增的基層勞工，爰提案要求行政院應於一個月向本院提出相關報告，並將相關法律修正案送本院審議，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_020.doc,all,
08,01,02,,21,本院委員廖正井等19人，鑒於本年1月間離楊梅埔心火車站前約五百公尺幸福水泥平交道，台鐵太魯閣號撞上砂石車，造成1死25傷慘劇，肇事原因及責任雖由檢調偵辦中，惟長久以來，砂石車管理脫序與違規、肇事問題嚴重，為有效遏止砂石車違規與肇事，爰建議行政院責成交通部全面檢討砂石車運輸環境問題、法令與監理問題，以落實有效改善砂石車管理問題，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_021.doc,all,
08,01,02,,22,本院委員陳歐珀、姚文智等13人，有鑑於近來物價上漲，失業問題嚴重，初次就業青年因大學學費漲價，學貸背負沉重等問題造成其就業率低落，而無薪假發生情形嚴重以及派遣工僱用浮濫等問題，也直接導致整體勞工就業環境惡劣，使整體就業率不佳，因此建請行政院勞工委員會、青年輔導委員會等單位針對「青年初次就業發放津貼、失業津貼發放效率低落、針對無薪假勞工發放短工津貼，以及政府全面禁止雇用派遣勞工」等議題進行研議，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_022.doc,all,
